2;;Создание дизайн-системы для коллекции проектов базовой кафедры;"['"Разработка и внедрение дизайн-системы, включая создание компонентов интерфейса, стилей и руководств по использованию.'",
'"Проведение исследований пользователей и анализ их потребностей для создания удобного пользовательского опыта.'",
'"Создание прототипов и макетов интерфейсов.'",
'"Сотрудничество с разработчиками для обеспечения правильной реализации дизайн-системы.'",
'"Проведение тестирования интерфейсов и сбор обратной связи.'",
'"Участие в создании документации по использованию дизайн-системы.'"]";"['"UI/UX design'", '"Figma'", '"Photoshop'", '"Illustrator'", '"HTML'", '"CSS'", '"JS'", '"MS Office'", '"UX research'"]";;;Web-дизайнер;;show;"['"Уверенное владение Figma'", 
 '"Творческий взгляд на жизнь и креативность'"]"
1;;Автоматизация проведения лабораторных работ по программированию;"['"Участие в разработке архитектуры и функций системы автоматизации лабораторных работ.'", 
'"Проектирование и реализация компонентов системы, включая интерфейсы для студентов и преподавателей.'",
'"Разработка алгоритмов автоматической проверки кода на различных языках программирования.'",
'"Интеграция системы с внешними сервисами.'",
'"Написание документации и проведение тестирования разработанных функций.'",
'"Участие в код-ревью и обмене знаниями с командой.'",
'"Поддержка и улучшение существующих функций системы на основе отзывов пользователей.'"]";"['"C++'", '"HTML'", '"CSS'", '"JS'"]";;;Программист С++;;show;
5;;Создание интеллектуальной системы рекомендаций на основе методов машинного обучения;"['"Сбор данных о пользователях и их взаимодействиях с продуктами.Очистка и предобработка данных.'",
'"Выбор и создание признаков, которые могут повлиять на рекомендации. Применение методов отбора признаков для улучшения качества модели.'",
'"Исследование различных алгоритмов для построения системы рекомендаций.'",
'"Разделение данных на обучающую и тестовую выборки.Обучение выбранных моделей на обучающей выборке и настройка гиперпараметров.'",
'"Проведение кросс-валидации для более надежной оценки производительности модели.'",
'"Создание прототипа пользовательского интерфейса для отображения рекомендаций. Интеграция модели в веб-приложение.'"]";"['"OpenAI'", '"JS'"]";;;AI разработчик;;show;
3;;Автоматизация быстрых ответов на часто задаваемые вопросы от студентов кафедры;"['"Разработка и внедрение Telegram-бота для автоматизации ответов на часто задаваемые вопросы.'",'"Создание структуры базы данных для хранения вопросов и ответов, а также интеграция с существующими системами (если необходимо).'",'"Реализация функций обработки запросов пользователей и предоставления им актуальной информации.'",'"Проведение тестирования бота и исправление ошибок на основе полученной обратной связи.'"]";"['"Python'",'"SQL'",'"Telegram Bot'"]";;;Разработчик Telegram-ботов c интеграцией в канал кафедры;1;show;
4;;Разработка модели предсказания оттока клиентов с использованием машинного обучения;"['"Сбор и очистка данных о клиентах.Проведение первичного анализа данных (EDA) для выявления закономерностей и аномалий.'",
'"Выбор и создание значимых признаков для модели.Применение методов отбора признаков для уменьшения размерности и повышения качества модели.'",
'"Разделение данных на обучающую и тестовую выборки.Обучение выбранных моделей на обучающей выборке и их настройка.'",
'"Оценка качества модели на тестовой выборке с использованием выбранных метрик.Проведение кросс-валидации для более надежной оценки производительности модели.'",
'"Подготовка визуализаций для представления результатов (графики важности признаков, ROC-кривые и т.д.).На основе полученных результатов разработать рекомендации по улучшению клиентского опыта и снижению оттока клиентов.'"]";"['"Spark'"]";;;Data Scientist;;show;
6;;Разработка RESTful API для управления задачами с использованием микросервисной архитектуры;"['"Разработка архитектурной схемы приложения с учетом микросервисного подхода.'",
'"Реализация CRUD-операций для основных сущностей через RESTful API. Обеспечение аутентификации и авторизации пользователей. Проектирование схемы базы данных.'",
'"Написание юнит-тестов и интеграционных тестов для проверки функциональности API.'",
'"Создание документации для API с использованием Swagger или Postman.'",
'"Создание простого фронтенд-приложения для взаимодействия с API.Интеграция фронтенда с бэкендом через API.'",
'"Настройка CI/CD процессов для автоматизации развертывания и тестирования.'"]";"['"Docker'", '"JWT'", '"PostgreSQL'", '"Postman'"]";;;Backend Dev;;show;
